address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Dybdalsvej 31 8641 Sorring,31,2295000.0,30-03-2017,Alm.,14079,6,Stuehus,163,1924,
Høngevej 25 8641 Sorring,25,2250000.0,13-03-2017,Alm.,13636,7,Stuehus,165,1925,-2 %
Møllebakken 17 8641 Sorring,17,900000.0,21-01-2017,Alm.,6976,5,Villa,129,1980,-18 %
Silkeborgvej 26 8641 Sorring,26,1250000.0,09-01-2017,Alm.,5952,7,Villa,210,1947,-4 %
Dybdalsvej 49 8641 Sorring,49,2598000.0,04-01-2017,Alm.,15938,5,Stuehus,163,1870,0 %
Hjejlevej 65 8641 Sorring,65,616250.0,22-12-2016,Andet,4370,5,Villa,141,1978,
Hjejlevej 41 8641 Sorring,41,798458.0,06-12-2016,Alm.,5958,4,Villa,134,1975,
Ebbesensvej 15 8641 Sorring,15,1975000.0,21-11-2016,Alm.,15192,4,Villa,130,1898,-1 %
Høghgårdsvej 14 8641 Sorring,14,875000.0,20-11-2016,Alm.,5303,5,Villa,165,2001,
Ryttervej 10 8641 Sorring,10,325000.0,02-11-2016,Fam.,2425,6,Rækkehus,134,1877,
Skolebakken 13C 8641 Sorring,0,1950000.0,21-10-2016,Alm.,8552,8,Villa,228,1967,-2 %
Klintrupvej 2 8641 Sorring,2,188265.0,16-10-2016,Alm.,913,7,Stuehus,206,1911,-92 %
Klintrup Hedevej 125 8641 Sorring,125,1150000.0,28-09-2016,Alm.,7232,4,Villa,159,1765,-4 %
Hovedgaden 14 8641 Sorring,14,1525000.0,29-08-2016,Alm.,10517,5,Villa,145,1890,
Hjejlevej 61 8641 Sorring,61,1283000.0,13-07-2016,Alm.,9230,4,Villa,139,1978,-8 %
Silkeborgvej 20 8641 Sorring,20,1200000.0,20-05-2016,Alm.,8000,4,Villa,150,1946,-7 %
Johannes Jensens Vej 18 8641 Sorring,18,80000.0,10-05-2016,Alm.,493,5,Villa,162,1910,
Drosselvej 6 8641 Sorring,6,1700000.0,10-05-2016,Alm.,9090,5,Villa,187,1966,-5 %
Hovedgaden 10 8641 Sorring,10,695000.0,10-03-2016,Alm.,5604,4,Villa,124,1820,0 %
Terpvej 65 8641 Sorring,65,2400000.0,29-01-2016,Alm.,12765,7,Villa,188,2005,-8 %
Ryttervej 8 8641 Sorring,8,605000.0,11-12-2015,Alm.,4959,4,Rækkehus,122,1877,-7 %
Dallerupvej 40 8641 Sorring,40,400000.0,27-11-2015,Alm.,3448,4,Villa,116,1901,
Skolebakken 13A 8641 Sorring,0,2085000.0,23-11-2015,Alm.,13365,6,Villa,156,2008,0 %
Dybdalsvej 12 8641 Sorring,12,600000.0,31-10-2015,Fam.,4255,4,Villa,141,1890,
Solbærmarken 26 8641 Sorring,26,1450000.0,30-10-2015,Alm.,12831,5,Villa,113,1999,-3 %
Hovedgaden 22 8641 Sorring,22,560000.0,16-10-2015,Alm.,9655,2,Villa,58,1946,-6 %
Skolebakken 30 8641 Sorring,30,156500.0,15-09-2015,Andet,926,7,Stuehus,169,1899,
Hjejlevej 53 8641 Sorring,53,1100000.0,22-07-2015,Alm.,9016,4,Villa,122,1978,-8 %
Hjejlevej 97 8641 Sorring,97,2490000.0,03-07-2015,Alm.,15465,5,Villa,161,2008,-4 %
Ternevej 1 8641 Sorring,1,1300000.0,25-06-2015,Alm.,8280,6,Villa,157,1977,
Dallerup Kirkevej 59 8641 Sorring,59,1770000.0,12-05-2015,Alm.,12206,6,Stuehus,145,1928,
Solbærmarken 36 8641 Sorring,36,2275000.0,24-03-2015,Alm.,14218,6,Villa,160,2000,-1 %
Klintrup Hedevej 160 8641 Sorring,160,2185000.0,11-03-2015,Alm.,12630,5,Villa,173,1962,-5 %
Solbærmarken 31 8641 Sorring,31,2175000.0,05-03-2015,Alm.,14215,6,Villa,153,2007,-3 %
Hjejlevej 89 8641 Sorring,89,1150000.0,13-02-2015,Alm.,8846,4,Villa,130,1976,-4 %
Hjejlevej 37 8641 Sorring,37,1260000.0,12-02-2015,Alm.,8689,6,Villa,145,1977,
Hovedgaden 13 8641 Sorring,13,1175000.0,03-02-2015,Alm.,8103,6,Villa,145,1963,-9 %
Terpvej 59 8641 Sorring,59,1705000.0,27-01-2015,Alm.,21312,3,Villa,80,1920,-15 %
Vibevej 12 8641 Sorring,12,1200000.0,22-01-2015,Alm.,8888,4,Villa,135,1971,-14 %
Møllebakken 3 8641 Sorring,3,1600000.0,04-12-2014,Alm.,9467,5,Villa,169,1900,-8 %
Bundgårdsvej 10 8641 Sorring,10,2791000.0,21-11-2014,Alm.,13816,5,Villa,202,2008,-4 %
Hjejlevej 32 8641 Sorring,32,2750000.0,29-10-2014,Alm.,16176,5,Villa,170,2009,0 %
Solbærmarken 50 8641 Sorring,50,2425000.0,07-10-2014,Alm.,13857,6,Villa,175,2003,-3 %
Dallerup Kirkevej 25 8641 Sorring,25,2300000.0,01-10-2014,Alm.,12637,5,Villa,182,1903,
Bangsvej 5 8641 Sorring,5,1000000.0,12-09-2014,Alm.,8771,4,Villa,114,1962,-9 %
