address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Ulkjærvej 53 6771 Gredstedbro,53,583000.0,26-04-2017,Alm.,9253,2,Rækkehus,63,1978,-3 %
Vestergade 39 6771 Gredstedbro,39,569500.0,25-04-2017,Fam.,4668,4,Villa,122,1956,
Møgelhøjvej 11 6771 Gredstedbro,11,560000.0,19-04-2017,Fam.,1985,5,Villa,282,1905,
Plougsvadvej 25 6771 Gredstedbro,25,438450.0,08-03-2017,Fam.,4097,3,Villa,107,1955,
Plougstrupvej 5 6771 Gredstedbro,5,729000.0,22-02-2017,Fam.,4673,6,Villa,156,1930,
Jedstedvej 10 6771 Gredstedbro,10,420000.0,13-02-2017,Alm.,2187,6,Stuehus,192,1879,
Ulkjærvej 27 6771 Gredstedbro,27,695000.0,08-02-2017,Alm.,9266,3,Villa,75,1966,-4 %
Plougstrupvej 91 6771 Gredstedbro,91,988000.0,28-01-2017,Alm.,4704,5,Villa,210,1740,-1 %
Kløvermarken 3 6771 Gredstedbro,3,950000.0,24-01-2017,Alm.,6506,4,Villa,146,1971,-5 %
Lupinmarken 1 6771 Gredstedbro,1,659510.0,20-01-2017,Fam.,5234,4,Villa,126,1975,
Gørdingvej 55 6771 Gredstedbro,55,50000.0,21-12-2016,Alm.,649,3,Villa,77,1885,
Nørrebyvej 8 6771 Gredstedbro,8,1898000.0,09-12-2016,Alm.,9258,6,Villa,205,1775,0 %
Hjortlundvej 101 6771 Gredstedbro,101,450000.0,30-11-2016,Auktion,3214,6,Villa,140,1933,
Hans Jensens Vej 8 6771 Gredstedbro,8,775000.0,28-11-2016,Alm.,6054,4,Villa,128,1963,
Lucernemarken 1 6771 Gredstedbro,1,750000.0,21-11-2016,Alm.,5725,4,Villa,131,1975,
Vestergade 10 6771 Gredstedbro,10,775000.0,09-11-2016,Alm.,6150,7,Villa,126,1887,-6 %
Sennepsmarken 2 6771 Gredstedbro,2,1000000.0,04-11-2016,Alm.,9090,4,Villa,110,1968,
Majsmarken 14 6771 Gredstedbro,14,1400000.0,02-11-2016,Alm.,7106,7,Villa,197,1968,-3 %
Vinkelvej 10 6771 Gredstedbro,10,550000.0,28-10-2016,Fam.,4230,4,Villa,130,1977,
Vestergade 29 6771 Gredstedbro,29,225000.0,28-10-2016,Fam.,1347,4,Villa,167,1946,
Langbjergvej 13 6771 Gredstedbro,13,670000.0,11-10-2016,Alm.,5677,4,Villa,118,1953,-10 %
Kløvermarken 10 6771 Gredstedbro,10,1465000.0,29-09-2016,Alm.,8093,8,Villa,181,1972,-2 %
Jedsted Bjerge Vej 57 6771 Gredstedbro,57,2040000.0,24-09-2016,Alm.,10000,6,Villa,204,1929,
Sennepsmarken 3 6771 Gredstedbro,3,550000.0,21-09-2016,Alm.,3956,6,Villa,139,1969,
Puggårdsvej 80 6771 Gredstedbro,80,2000000.0,17-09-2016,Alm.,8000,7,Villa,250,1930,-5 %
Vestparken 4 6771 Gredstedbro,4,650000.0,16-09-2016,Alm.,4113,7,Villa,158,1968,-6 %
Ulkjærvej 51 6771 Gredstedbro,51,578000.0,16-09-2016,Alm.,9174,2,Rækkehus,63,1978,0 %
