address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Oxlundvej 3 6623 Vorbasse,3,2930000.0,29-04-2017,Alm.,12157,6,Villa,241,1940,-2 %
Tårngade 9 6623 Vorbasse,9,230000.0,27-04-2017,Alm.,1360,5,Villa,169,1937,
"Østergade 6, 1 6623 Vorbasse",1,650000.0,13-02-2017,Alm.,13265,2,Lejlighed,49,1932,-6 %
Sønderhedevej 9 6623 Vorbasse,9,1585000.0,10-02-2017,Alm.,7620,6,Villa,208,1932,
Østergade 50 6623 Vorbasse,50,475000.0,08-02-2017,Alm.,3492,5,Villa,136,1932,-10 %
Skødebjergvej 6 6623 Vorbasse,6,417334.0,19-01-2017,Alm.,2231,6,Stuehus,187,1947,
Håndværkervej 1 6623 Vorbasse,1,425000.0,12-01-2017,Alm.,3663,4,Villa,116,1980,
Markedsstien 2 6623 Vorbasse,2,500000.0,09-01-2017,Alm.,3703,5,Villa,135,1972,-28 %
Frederikshåbvej 4A 6623 Vorbasse,0,565500.0,22-12-2016,Fam.,5004,3,Villa,113,1988,
Østervænget 52 6623 Vorbasse,52,573750.0,25-11-2016,Fam.,3118,7,Villa,184,1987,
Frederikshåbvej 5 6623 Vorbasse,5,150001.0,17-11-2016,Auktion,867,5,Villa,173,1918,
Labrivej 3 6623 Vorbasse,3,825000.0,14-11-2016,Fam.,5221,6,Villa,158,1997,
Nørregade 39 6623 Vorbasse,39,500000.0,26-10-2016,Alm.,3703,5,Villa,135,1974,
Søndergade 6 6623 Vorbasse,6,425000.0,04-10-2016,Alm.,4126,5,Villa,103,1933,0 %
Østervænget 70 6623 Vorbasse,70,1475000.0,28-09-2016,Alm.,7449,6,Villa,198,1981,
Fittingvej 50 6623 Vorbasse,50,3140000.0,27-09-2016,Alm.,17640,10,Stuehus,178,2003,
Frederiksnådevej 1 6623 Vorbasse,1,2050000.0,27-08-2016,Alm.,8991,6,Villa,228,1966,-7 %
Østervænget 6 6623 Vorbasse,6,820000.0,04-08-2016,Alm.,6356,4,Villa,129,1986,-6 %
Klinkvej 42 6623 Vorbasse,42,910000.0,30-06-2016,Alm.,6500,6,Stuehus,140,1877,-9 %
Rolighedsvej 13 6623 Vorbasse,13,500000.0,30-06-2016,Andet,5555,4,Villa,90,1962,
Skjoldbjergvej 18 6623 Vorbasse,18,200000.0,24-06-2016,Alm.,1351,5,Villa,148,1802,
Tårngade 12 6623 Vorbasse,12,1500000.0,22-06-2016,Alm.,6849,10,Villa,219,1980,
Sønderhedevej 14 6623 Vorbasse,14,1349000.0,22-06-2016,Fam.,10297,5,Stuehus,131,1918,
Birkevej 9 6623 Vorbasse,9,745000.0,06-06-2016,Alm.,6208,4,Villa,120,1972,-11 %
Gilbjergvej 1 6623 Vorbasse,1,685000.0,30-05-2016,Alm.,4597,5,Villa,149,1957,-14 %
Skjoldbjergvej 55 6623 Vorbasse,55,2800000.0,27-05-2016,Alm.,14893,7,Villa,188,2006,
Fittingvej 15 6623 Vorbasse,15,850000.0,04-05-2016,Alm.,4404,6,Villa,193,1897,-15 %
Nebelvej 22 6623 Vorbasse,22,550000.0,28-04-2016,Alm.,4910,4,Villa,112,1956,-15 %
Skødebjergvej 14 6623 Vorbasse,14,2745000.0,09-04-2016,Alm.,14447,5,Stuehus,190,1940,
Dalgasvej 2 6623 Vorbasse,2,1620000.0,01-04-2016,Alm.,7570,6,Villa,214,1926,-4 %
Grønnegade 8B 6623 Vorbasse,0,384811.0,17-03-2016,Auktion,3886,4,Villa,99,1983,
Østermosevej 1 6623 Vorbasse,1,1576000.0,18-02-2016,Fam.,10233,5,Stuehus,154,1936,
Drosselvej 6 6623 Vorbasse,6,795000.0,01-02-2016,Alm.,7293,3,Villa,109,1979,-6 %
Kirkevænget 7 6623 Vorbasse,7,1200000.0,27-01-2016,Alm.,9523,6,Villa,126,1993,
Bøgevej 5 6623 Vorbasse,5,980000.0,26-01-2016,Alm.,5355,7,Villa,183,1973,-11 %
Skødevej 10 6623 Vorbasse,10,650000.0,15-01-2016,Alm.,4248,6,Stuehus,153,1930,
Nebelvej 4 6623 Vorbasse,4,300000.0,14-01-2016,Fam.,3000,4,Villa,100,1950,-18 %
Østervænget 68 6623 Vorbasse,68,895000.0,30-12-2015,Alm.,7584,4,Villa,118,1980,
Grønnegade 10 6623 Vorbasse,10,695000.0,30-12-2015,Fam.,4695,4,Villa,148,1978,0 %
Skjoldbjergvej 28 6623 Vorbasse,28,750000.0,15-12-2015,Alm.,3537,7,Villa,212,1953,-11 %
Hovborgvej 11 6623 Vorbasse,11,1000000.0,11-12-2015,Alm.,7633,6,Stuehus,131,1902,
Østergade 15 6623 Vorbasse,15,1400000.0,08-12-2015,Alm.,6250,10,Villa,224,1923,
Nebelvej 3 6623 Vorbasse,3,151500.0,08-12-2015,Fam.,1221,4,Villa,124,2016,
Præstevænget 1 6623 Vorbasse,1,720000.0,05-12-2015,Fam.,9729,4,Villa,74,1927,
Østergade 26 6623 Vorbasse,26,850000.0,15-10-2015,Alm.,4381,6,Villa,194,1954,
Skjoldbjergvej 57 6623 Vorbasse,57,4840000.0,31-08-2015,Alm.,23157,6,Stuehus,209,1980,
Birkevej 10 6623 Vorbasse,10,635000.0,28-08-2015,Alm.,6479,3,Villa,98,1968,0 %
Kratvej 4 6623 Vorbasse,4,1650000.0,23-08-2015,Alm.,9763,6,Stuehus,169,1960,-3 %
