address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"H.C. Ørsteds Vej 27, 4. 25 1879 Frederiksberg C",1879,1625000.0,18-05-2017,Fam.,22260,2,Lejlighed,73,1968,
Hauchsvej 10 1825 Frederiksberg C,1825,3500000.0,15-05-2017,Fam.,16203,7,Villa,216,1873,
"Forchhammersvej 29, 1. TH 1920 Frederiksberg C",1920,1700000.0,11-05-2017,Alm.,16666,5,Lejlighed,102,1901,
"Gammel Kongevej 164, 1. TH 1850 Frederiksberg C",1850,3000000.0,11-05-2017,Fam.,20833,5,Lejlighed,144,1884,
"Jakob Dannefærds Vej 9, 1. TH 1973 Frederiksberg C",1973,2000000.0,10-05-2017,Fam.,22988,3,Lejlighed,87,1890,
"Steenstrups Alle 7, 2. TV 1924 Frederiksberg C",1924,5495000.0,10-05-2017,Alm.,58457,4,Lejlighed,94,1898,0 %
"Amalievej 22, 3. TH 1875 Frederiksberg C",1875,2992500.0,04-05-2017,Fam.,23562,5,Lejlighed,127,1904,
"Dr. Priemes Vej 10, 4. TH 1854 Frederiksberg C",1854,5895000.0,27-04-2017,Alm.,49537,5,Lejlighed,119,1902,
"H.C. Ørsteds Vej 59, 2. TH 1879 Frederiksberg C",1879,5400000.0,26-04-2017,Alm.,42519,4,Lejlighed,127,1891,-2 %
"Kingosgade 11, 4. 107 1818 Frederiksberg C",1818,1350000.0,24-04-2017,Alm.,23684,2,Lejlighed,57,1970,-41 %
"Gammel Kongevej 151, 2. 3 1850 Frederiksberg C",1850,1380000.0,24-04-2017,Fam.,23793,2,Lejlighed,58,1974,
"J.M.Thieles Vej 10B, 2 1961 Frederiksberg C",1961,3400000.0,23-04-2017,Alm.,45945,2,Lejlighed,74,1878,-3 %
"Madvigs Alle 3, 1. TH 1829 Frederiksberg C",1829,5900000.0,21-04-2017,Alm.,38815,4,Lejlighed,152,1896,
"H.C. Ørsteds Vej 27, 2. 10 1879 Frederiksberg C",1879,1360000.0,20-04-2017,Fam.,18630,2,Lejlighed,73,1968,
"Platanvej 6, 7. 2 1810 Frederiksberg C",1810,2800000.0,20-04-2017,Alm.,38888,2,Lejlighed,72,1972,
"Edisonsvej 12, 4. TH 1856 Frederiksberg C",1856,6945000.0,15-04-2017,Alm.,49255,4,Lejlighed,141,1891,1 %
"Thorvaldsensvej 19, ST. TH 1871 Frederiksberg C",1871,1660000.0,12-04-2017,Fam.,18863,3,Lejlighed,88,1909,
"Gammel Kongevej 72A, 4. TV 1850 Frederiksberg C",1850,1275000.0,06-04-2017,Fam.,20238,2,Lejlighed,63,1941,
"Erik Menveds Vej 3, 1. TV 1965 Frederiksberg C",1965,3955000.0,06-04-2017,Alm.,44438,4,Lejlighed,89,1886,0 %
"Steenwinkelsvej 9, 2. MF 1966 Frederiksberg C",1966,2250000.0,05-04-2017,Alm.,39473,2,Lejlighed,57,1967,-4 %
"Grundtvigsvej 5, 4. TH 1864 Frederiksberg C",1864,6670000.0,04-04-2017,Alm.,56050,4,Lejlighed,119,1884,0 %
"Lykkesholms Allé 7B, ST. TH 1902 Frederiksberg C",1902,3695000.0,03-04-2017,Alm.,49266,3,Lejlighed,75,1904,0 %
"Frederiksberg Alle 37, 2. TH 1820 Frederiksberg C",1820,7850000.0,02-04-2017,Alm.,53767,5,Lejlighed,146,1889,3 %
"Rosenørns Alle 58, 2. TV 1970 Frederiksberg C",1970,1800000.0,31-03-2017,Alm.,20689,4,Lejlighed,87,1886,
"Worsaaesvej 12A, ST. TV 1972 Frederiksberg C",1972,1572500.0,30-03-2017,Fam.,18720,3,Lejlighed,84,1876,
"Forchhammersvej 27, 1. TH 1920 Frederiksberg C",1920,4695000.0,29-03-2017,Alm.,49946,4,Lejlighed,94,1901,0 %
"Danasvej 39, ST. TV 1910 Frederiksberg C",1910,1725000.0,29-03-2017,Fam.,26538,3,Lejlighed,65,1875,
"Vesterbrogade 171, 3. TH 1800 Frederiksberg C",1800,5100000.0,29-03-2017,Alm.,40157,5,Lejlighed,127,1924,2 %
"Gammel Kongevej 142, 2. TV 1850 Frederiksberg C",1850,1725000.0,28-03-2017,Alm.,11655,5,Lejlighed,148,1884,
"Forchhammersvej 31, ST. TH 1920 Frederiksberg C",1920,2255000.0,27-03-2017,Fam.,24510,3,Lejlighed,92,1901,
"Carl Bernhards Vej 13B, 1. 24 1817 Frederiksberg C",1817,1400000.0,26-03-2017,Alm.,27450,1,Lejlighed,51,1970,
"Jakob Dannefærds Vej 10B, 1. TH 1973 Frederiksberg C",1973,2000000.0,26-03-2017,Alm.,43478,2,Lejlighed,46,1885,-5 %
"H.C. Ørsteds Vej 54A, 3. TV 1879 Frederiksberg C",1879,3269368.0,26-03-2017,Alm.,41384,2,Lejlighed,79,1938,-1 %
"Lykkesholms Allé 7C, ST. TV 1902 Frederiksberg C",1902,1360000.0,25-03-2017,Fam.,19710,2,Lejlighed,69,1904,
"Niels Ebbesens Vej 22B, 3 1911 Frederiksberg C",1911,3095000.0,24-03-2017,Alm.,48359,3,Lejlighed,64,1873,0 %
Nyvej 13 1851 Frederiksberg C,1851,19000000.0,24-03-2017,Alm.,60126,10,Villa,316,1877,
"Rosenørns Alle 68, 3 1970 Frederiksberg C",1970,2423500.0,23-03-2017,Fam.,16486,5,Lejlighed,147,1906,
"Henrik Ibsens Vej 6, ST. TV 1813 Frederiksberg C",1813,2900000.0,23-03-2017,Andet,40845,3,Lejlighed,71,1938,-9 %
"Platanvej 7, 8. 40 1810 Frederiksberg C",1810,2185000.0,22-03-2017,Fam.,27658,2,Lejlighed,79,1976,
"Martensens Alle 4A, 3. TV 1828 Frederiksberg C",1828,5800000.0,19-03-2017,Alm.,53211,4,Lejlighed,109,1896,
"Carl Bernhards Vej 13B, 1. 19 1817 Frederiksberg C",1817,2050000.0,18-03-2017,Alm.,40196,2,Lejlighed,51,1970,0 %
"Carl Plougs Vej 9, 5 1913 Frederiksberg C",1913,6900000.0,17-03-2017,Alm.,53076,4,Lejlighed,130,1902,-1 %
"Grundtvigsvej 34, 1. TH 1864 Frederiksberg C",1864,4600000.0,15-03-2017,Alm.,47916,5,Lejlighed,96,1880,-4 %
"Gammel Kongevej 148, 4. TH 1850 Frederiksberg C",1850,9850000.0,13-03-2017,Alm.,43973,6,Lejlighed,224,1905,-7 %
"Christian Winthers Vej 1B, 2. TV 1860 Frederiksberg C",1860,4275000.0,11-03-2017,Alm.,45000,3,Lejlighed,95,1900,-3 %
"Platanvej 5, 5. 92 1810 Frederiksberg C",1810,4500000.0,10-03-2017,Alm.,56250,3,Lejlighed,80,1976,0 %
"Harsdorffsvej 7B, 3. TH 1874 Frederiksberg C",1874,3400000.0,09-03-2017,Alm.,47222,3,Lejlighed,72,1909,-3 %
"Sankt Thomas Alle 5A, 2. TH 1824 Frederiksberg C",1824,2400000.0,09-03-2017,Fam.,21428,4,Lejlighed,112,1904,
"Bianco Lunos Alle 8, 1. TH 1868 Frederiksberg C",1868,3395000.0,08-03-2017,Alm.,48500,3,Lejlighed,70,1969,3 %
"Gammel Kongevej 72B, 3. TH 1850 Frederiksberg C",1850,2850000.0,07-03-2017,Alm.,46721,2,Lejlighed,61,1941,0 %
"Forhåbningsholms Alle 41B, 1 1904 Frederiksberg C",1904,3800000.0,06-03-2017,Alm.,43181,4,Lejlighed,88,1870,-8 %
"Hollændervej 6, 2. TH 1855 Frederiksberg C",1855,4250000.0,05-03-2017,Alm.,45698,3,Lejlighed,93,1896,-3 %
"Forhåbningsholms Alle 17B, 5. TV 1904 Frederiksberg C",1904,2700000.0,03-03-2017,Alm.,46551,2,Lejlighed,58,1905,-3 %
"Bianco Lunos Alle 6, ST. TH 1868 Frederiksberg C",1868,3650000.0,01-03-2017,Alm.,43975,3,Lejlighed,83,1969,-3 %
"Kochsvej 21, 3. TV 1812 Frederiksberg C",1812,5820000.0,01-03-2017,Alm.,50172,4,Lejlighed,116,1898,-1 %
"Grundtvigsvej 7, 4. TH 1864 Frederiksberg C",1864,3200000.0,01-03-2017,Alm.,47058,2,Lejlighed,68,1884,-4 %
"H.C. Ørsteds Vej 59A, ST. TH 1879 Frederiksberg C",1879,1600000.0,28-02-2017,Fam.,18604,3,Lejlighed,86,1891,
"Madvigs Alle 3, 4. TH 1829 Frederiksberg C",1829,8400000.0,28-02-2017,Alm.,42857,6,Lejlighed,196,1896,
"H.C. Ørsteds Vej 10, 2. TV 1879 Frederiksberg C",1879,6500000.0,26-02-2017,Alm.,35135,5,Lejlighed,185,1938,-5 %
"Lykkesholms Allé 7C, ST. TH 1902 Frederiksberg C",1902,2820000.0,25-02-2017,Alm.,43384,2,Lejlighed,65,1904,1 %
"Erik Menveds Vej 3, ST. TH 1965 Frederiksberg C",1965,3875000.0,24-02-2017,Alm.,43539,4,Lejlighed,89,1886,-1 %
"Madvigs Alle 5, 4. TV 1829 Frederiksberg C",1829,4795000.0,22-02-2017,Alm.,47009,4,Lejlighed,102,1896,0 %
