address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Ketting Parkvej 24 8462 Harlev J,8462,2114000.0,24-04-2017,Alm.,18707,5,Rækkehus,113,2009,-2 %
Labing Møllevej 5 8462 Harlev J,8462,1830000.0,31-03-2017,Alm.,8798,8,Stuehus,208,1914,
Acervej 8 8462 Harlev J,8462,1850000.0,31-03-2017,Alm.,14919,5,Villa,124,1964,-3 %
Framlevvej 11 8462 Harlev J,8462,2200000.0,30-03-2017,Alm.,8208,7,Villa,268,1962,-6 %
Grønhøjvej 19 8462 Harlev J,8462,1780000.0,27-03-2017,Alm.,14240,4,Villa,125,1964,-4 %
Nytoften 11 8462 Harlev J,8462,1525000.0,26-02-2017,Alm.,14523,3,Rækkehus,105,1983,-5 %
Rødlundvænget 21 8462 Harlev J,8462,3850000.0,25-02-2017,Alm.,19444,8,Villa,198,2000,
Sydbakken 16 8462 Harlev J,8462,3200000.0,23-02-2017,Alm.,14285,7,Villa,224,1973,
Edelhoffvej 2C 8462 Harlev J,8462,1090000.0,08-02-2017,Alm.,12386,3,Rækkehus,88,1971,-9 %
Gammel Stillingvej 438 8462 Harlev J,8462,2025000.0,25-01-2017,Alm.,18409,4,Villa,110,1992,-3 %
Grønhøjvej 56D 8462 Harlev J,8462,2440000.0,19-01-2017,Alm.,15541,5,Villa,157,1978,-2 %
Damkærvej 10 8462 Harlev J,8462,1084000.0,10-01-2017,Fam.,8089,4,Villa,134,1960,
Stallinggårdvej 2 8462 Harlev J,8462,3360000.0,29-12-2016,Alm.,17319,6,Villa,194,2008,-4 %
Havremarksvej 2 8462 Harlev J,8462,1780000.0,28-12-2016,Alm.,16952,4,Villa,105,1968,-5 %
Nytoften 13 8462 Harlev J,8462,1799000.0,23-12-2016,Alm.,15643,4,Rækkehus,115,1983,0 %
Florasvej 15 8462 Harlev J,8462,2775000.0,13-12-2016,Alm.,16323,4,Villa,170,1968,-1 %
Florasvej 16 8462 Harlev J,8462,2600000.0,12-12-2016,Alm.,15294,4,Villa,170,1970,4 %
Kettinggårdsvej 13 8462 Harlev J,8462,4165000.0,06-12-2016,Alm.,18108,7,Villa,230,2009,-3 %
Kettingvej 26 8462 Harlev J,8462,1870000.0,06-12-2016,Alm.,12142,5,Villa,154,1963,-4 %
Bygmarksvej 10 8462 Harlev J,8462,1950000.0,02-12-2016,Alm.,19117,4,Villa,102,1969,-2 %
Tandrupvej 10 8462 Harlev J,8462,1272310.0,23-11-2016,Andet,4479,9,Villa,284,1877,-66 %
Ketting Parkvej 233 8462 Harlev J,8462,2455048.0,08-11-2016,Alm.,18321,4,Rækkehus,134,2016,
Kornelvej 38 8462 Harlev J,8462,2498000.0,02-11-2016,Alm.,7955,10,Stuehus,314,1928,
Stallinggårdvej 4 8462 Harlev J,8462,1655000.0,28-10-2016,Andet,8152,6,Villa,203,2005,
Nytoften 8 8462 Harlev J,8462,1375000.0,19-10-2016,Alm.,13480,5,Rækkehus,102,1984,-8 %
Hvedemarksvej 5 8462 Harlev J,8462,2890000.0,19-10-2016,Alm.,17730,5,Villa,163,1968,-4 %
Araliavej 43 8462 Harlev J,8462,750000.0,17-10-2016,Alm.,4838,5,Villa,155,1979,-47 %
Grønhøjvej 47 8462 Harlev J,8462,2300000.0,13-10-2016,Alm.,14838,4,Villa,155,1969,-2 %
Framlev Korsvej 29 8462 Harlev J,8462,2000000.0,03-10-2016,Alm.,12048,5,Villa,166,1991,
Ketting Parkvej 225 8462 Harlev J,8462,2275000.0,30-09-2016,Alm.,21462,4,Rækkehus,106,2015,-1 %
Højlundvej 30 8462 Harlev J,8462,2100000.0,27-09-2016,Alm.,10714,8,Villa,196,1969,-8 %
Sydbakken 30 8462 Harlev J,8462,1515000.0,19-09-2016,Fam.,9837,4,Villa,154,1972,
Tåstrupvej 110 8462 Harlev J,8462,1250000.0,09-09-2016,Andet,7267,6,Villa,172,1877,
Vingetoften 14 8462 Harlev J,8462,2100000.0,06-09-2016,Andet,15555,5,Villa,135,2004,
Spiræavej 16 8462 Harlev J,8462,2375000.0,29-08-2016,Alm.,11046,6,Villa,215,1976,-5 %
Højbyvej 21 8462 Harlev J,8462,1450000.0,25-08-2016,Alm.,17261,3,Villa,84,1910,-3 %
Vårgyvelvej 9 8462 Harlev J,8462,2500000.0,19-08-2016,Alm.,16025,5,Villa,156,1969,0 %
Engsvinget 29 8462 Harlev J,8462,2374000.0,18-08-2016,Alm.,14387,5,Villa,165,1973,-1 %
Tandrupvej 18 8462 Harlev J,8462,3428804.0,17-08-2016,Alm.,9768,8,Stuehus,351,1845,
Kettingvej 18 8462 Harlev J,8462,1900000.0,15-08-2016,Alm.,13286,4,Villa,143,1973,-5 %
Åbovej 51 8462 Harlev J,8462,2430000.0,04-08-2016,Alm.,18134,4,Villa,134,1960,-3 %
Grønhøjvej 71 8462 Harlev J,8462,1500000.0,03-08-2016,Alm.,11811,4,Villa,127,1967,-9 %
Engsvinget 23 8462 Harlev J,8462,1936000.0,21-07-2016,Alm.,14892,5,Villa,130,1973,-3 %
Florasvej 2 8462 Harlev J,8462,1775000.0,16-07-2016,Alm.,14087,5,Villa,126,1967,-6 %
Labing Landevej 1 8462 Harlev J,8462,2400000.0,08-07-2016,Alm.,14285,4,Stuehus,168,1911,-4 %
Sydbakken 23 8462 Harlev J,8462,2175000.0,01-07-2016,Alm.,10357,4,Villa,210,1969,-3 %
Ketting Parkvej 213 8462 Harlev J,8462,2150000.0,30-06-2016,Alm.,20283,4,Rækkehus,106,2016,3 %
Labingvej 1 8462 Harlev J,8462,17750000.0,29-06-2016,Alm.,42261,12,Stuehus,420,1927,
Gammel Mosevej 11A 8462 Harlev J,8462,2225000.0,29-06-2016,Alm.,15892,5,Villa,140,1990,-5 %
Sydbakken 57 8462 Harlev J,8462,4300000.0,23-06-2016,Alm.,21608,7,Villa,199,1970,
Sydbakken 15 8462 Harlev J,8462,516960.0,07-06-2016,Fam.,2872,6,Villa,180,1970,
Tåstrup Byvej 11 8462 Harlev J,8462,1955000.0,06-06-2016,Fam.,11432,6,Villa,171,2003,
Nyvangsvej 1 8462 Harlev J,8462,2250000.0,31-05-2016,Alm.,18750,3,Villa,120,1968,-2 %
Skibbyvej 51 8462 Harlev J,8462,4325000.0,10-05-2016,Alm.,41190,3,Villa,105,2008,-13 %
Grønhøjvej 73 8462 Harlev J,8462,1471238.0,02-05-2016,Fam.,8862,7,Villa,166,1969,
Ketting Parkvej 215 8462 Harlev J,8462,2200000.0,02-05-2016,Alm.,20754,4,Rækkehus,106,2016,
Rødlundvej 497 8462 Harlev J,8462,2998000.0,24-04-2016,Alm.,20256,5,Villa,148,2003,0 %
Vårgyvelvej 3 8462 Harlev J,8462,2685000.0,13-04-2016,Alm.,14752,8,Villa,182,1967,
Ketting Parkvej 38 8462 Harlev J,8462,2049000.0,11-04-2016,Alm.,19701,4,Rækkehus,104,2009,0 %
Nyvangsvej 12A 8462 Harlev J,8462,1400000.0,23-03-2016,Alm.,15909,3,Villa,88,1966,-6 %
Ketting Parkvej 18 8462 Harlev J,8462,2075000.0,21-03-2016,Alm.,19951,3,Rækkehus,104,2008,-2 %
Ketting Parkvej 217 8462 Harlev J,8462,2125000.0,11-03-2016,Alm.,20047,4,Rækkehus,106,2016,
Spiræavej 31 8462 Harlev J,8462,1600000.0,09-03-2016,Alm.,11764,5,Villa,136,1976,-3 %
Storringvej 16 8462 Harlev J,8462,1880000.0,29-02-2016,Alm.,10742,5,Villa,175,1904,-1 %
Lærkesvinget 18 8462 Harlev J,8462,1550000.0,25-02-2016,Alm.,13247,5,Villa,117,1962,-3 %
Brombærvej 19 8462 Harlev J,8462,1100000.0,17-02-2016,Alm.,7586,6,Villa,145,1956,-8 %
Ketting Parkvej 219 8462 Harlev J,8462,2100000.0,11-02-2016,Alm.,19811,4,Rækkehus,106,2016,
Engsvinget 14 8462 Harlev J,8462,2650000.0,10-02-2016,Alm.,14171,7,Villa,187,1972,
