address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Hørmarken 15 4140 Borup,15,1481196.0,17-05-2017,Alm.,7920,7,Villa,187,2016,
Lokesvej 6 4140 Borup,6,770000.0,18-04-2017,Alm.,13275,3,Sommerhus,58,1972,
Coronavej 1 4140 Borup,1,1812007.0,10-04-2017,Fam.,10981,5,Villa,165,1875,
Rønnevej 27 4140 Borup,27,1300000.0,10-04-2017,Alm.,7878,5,Villa,165,1968,
Dalstrøget 88 4140 Borup,88,2295000.0,10-04-2017,Alm.,15719,5,Villa,146,1981,0 %
Mølleskrænten 18 4140 Borup,18,1895000.0,09-04-2017,Alm.,18047,4,Lejlighed,105,2006,
Krotoften 17 4140 Borup,17,2295000.0,09-04-2017,Alm.,14079,6,Villa,163,1972,0 %
Mølleskrænten 46 4140 Borup,46,1900000.0,31-03-2017,Alm.,18095,4,Lejlighed,105,2006,1 %
Bakkegårds Alle 20 4140 Borup,20,2175000.0,31-03-2017,Alm.,19594,4,Dobbelthus,111,2017,9 %
Mølleskrænten 50 4140 Borup,50,1550000.0,29-03-2017,Alm.,17816,3,Rækkehus,87,2006,
Dalstrøget 5 4140 Borup,5,1200000.0,27-03-2017,Fam.,7643,5,Villa,157,1984,
"Hovedgaden 48A, 2. TV 4140 Borup",0,498000.0,15-03-2017,Alm.,12450,2,Lejlighed,40,1901,0 %
Neergaardparken 16 4140 Borup,16,2075000.0,02-03-2017,Alm.,18043,4,Rækkehus,115,2001,-1 %
Kløvestedvej 25 4140 Borup,25,4000000.0,26-02-2017,Alm.,27397,6,Villa,146,2006,-5 %
Rønnevej 24 4140 Borup,24,2250000.0,09-02-2017,Alm.,13719,6,Villa,164,1969,
Snekkerupvej 32 4140 Borup,32,2995000.0,23-01-2017,Alm.,11563,5,Villa,259,2004,0 %
Elmevej 7 4140 Borup,7,1895000.0,23-01-2017,Alm.,15160,4,Villa,125,1974,
Krogvej 22 4140 Borup,22,531250.0,06-01-2017,Fam.,4216,4,Villa,126,1971,
Bakkegårds Alle 28 4140 Borup,28,1995000.0,06-01-2017,Alm.,17972,4,Dobbelthus,111,2017,0 %
Ørningevej 2 4140 Borup,2,2750000.0,05-01-2017,Alm.,19927,8,Villa,138,1928,
Dalbyvej 25B 4140 Borup,0,1500000.0,02-01-2017,Alm.,11627,3,Villa,129,1973,0 %
Klempegårdsvej 66 4140 Borup,66,1525000.0,24-12-2016,Alm.,11213,5,Villa,136,1981,-10 %
Kløvermarken 3 4140 Borup,3,2650000.0,19-12-2016,Alm.,19064,5,Villa,139,2006,-3 %
Buen 30 4140 Borup,30,1775000.0,14-12-2016,Alm.,11754,6,Villa,151,1971,-4 %
Dalbyvej 35 4140 Borup,35,1820000.0,09-12-2016,Alm.,12297,4,Villa,148,1990,
Neergaardparken 6 4140 Borup,6,850000.0,29-11-2016,Fam.,4521,7,Villa,188,1998,
Magleskovvej 1 4140 Borup,1,4300000.0,28-11-2016,Alm.,26219,5,Stuehus,164,1900,
Søvej 11 4140 Borup,11,1930000.0,28-11-2016,Alm.,11556,5,Villa,167,1915,-3 %
"Hovedgaden 28D, 1 4140 Borup",1,945000.0,26-11-2016,Alm.,11385,3,Lejlighed,83,1895,-10 %
Ryeskovvej 10B 4140 Borup,0,1650000.0,09-11-2016,Alm.,12890,4,Villa,128,1993,-8 %
Østergade 10 4140 Borup,10,1950000.0,30-10-2016,Alm.,13175,4,Villa,148,1962,
Mølleparken 9 4140 Borup,9,1622000.0,25-10-2016,Alm.,15018,4,Villa,108,1984,8 %
Solsikkemarken 1 4140 Borup,1,3150000.0,18-10-2016,Alm.,18750,6,Villa,168,2007,-6 %
Odinsvej 2 4140 Borup,2,625000.0,18-10-2016,Alm.,11363,2,Sommerhus,55,1981,0 %
Dalbyvej 46 4140 Borup,46,7475000.0,18-10-2016,Alm.,27380,9,Stuehus,273,1920,
Lammestrupvej 33C 4140 Borup,0,2445000.0,16-10-2016,Alm.,14553,5,Villa,168,1972,
Klempegårdsvej 118 4140 Borup,118,1660000.0,12-10-2016,Alm.,13833,4,Villa,120,1978,-2 %
Bækgårdsvej 19 4140 Borup,19,1425000.0,12-10-2016,Alm.,6566,4,Villa,217,1960,-5 %
Dalstrøget 48 4140 Borup,48,1790000.0,07-10-2016,Alm.,15565,4,Villa,115,1985,-6 %
Bakkegårds Alle 64 4140 Borup,64,2095000.0,02-10-2016,Alm.,18539,4,Rækkehus,113,2008,0 %
Dalbyvej 8 4140 Borup,8,800000.0,24-09-2016,Fam.,9523,3,Villa,84,1962,-14 %
Lammestrupvej 20 4140 Borup,20,2200000.0,21-09-2016,Alm.,11340,5,Villa,194,1877,5 %
Krovænget 12 4140 Borup,12,2155000.0,21-09-2016,Alm.,16576,4,Villa,130,1969,-2 %
Bakkegårds Alle 3 4140 Borup,3,1900000.0,16-09-2016,Alm.,21111,3,Rækkehus,90,2005,0 %
Stenhøjparken 11A 4140 Borup,0,1335000.0,13-09-2016,Alm.,14510,4,Rækkehus,92,1996,
Hovedgaden 63 4140 Borup,63,1850000.0,13-09-2016,Alm.,15163,4,Villa,122,1963,
Ved Lygtebanke 1 4140 Borup,1,350000.0,09-09-2016,Alm.,0,5,Sommerhus,58,1971,
Sveibogen 5 4140 Borup,5,2950000.0,30-08-2016,Alm.,14974,7,Villa,197,1998,-8 %
Hørmarken 5 4140 Borup,5,3045000.0,28-08-2016,Alm.,20574,5,Villa,148,2008,-2 %
Elmevej 25 4140 Borup,25,960000.0,09-08-2016,Fam.,4571,6,Villa,210,1972,
Bakkegårds Alle 18 4140 Borup,18,1995000.0,03-08-2016,Alm.,17972,4,Dobbelthus,111,2017,
Solsikkemarken 10 4140 Borup,10,3075000.0,01-08-2016,Alm.,20637,6,Villa,149,2008,-4 %
Dalstrøget 64 4140 Borup,64,1650000.0,28-07-2016,Alm.,15420,4,Villa,107,1984,-5 %
Bakkegårds Alle 24 4140 Borup,24,1645000.0,25-07-2016,Alm.,19819,3,Rækkehus,83,2017,0 %
Bakkegårds Alle 22 4140 Borup,22,1895000.0,25-07-2016,Alm.,19141,3,Rækkehus,99,2017,0 %
Bakkegårds Alle 26 4140 Borup,26,1895000.0,25-07-2016,Alm.,19141,3,Rækkehus,99,2017,0 %
Kymervej 24 4140 Borup,24,2495000.0,22-07-2016,Alm.,18619,3,Villa,134,1966,0 %
Møllevej 2A 4140 Borup,0,2350000.0,19-07-2016,Alm.,11137,4,Lejlighed,211,2009,-6 %
Krotoften 22 4140 Borup,22,1875000.0,16-07-2016,Alm.,11295,4,Villa,166,1977,
Skovbrynet 46 4140 Borup,46,2095000.0,06-07-2016,Alm.,13343,5,Villa,157,1977,-5 %
Stenhøjparken 32A 4140 Borup,0,1700000.0,30-06-2016,Alm.,18478,4,Rækkehus,92,1991,-3 %
Krohaven 142 4140 Borup,142,1005000.0,29-06-2016,Alm.,13958,3,Lejlighed,72,2006,1 %
Bakkegårds Alle 30 4140 Borup,30,1895000.0,22-06-2016,Alm.,19141,4,Dobbelthus,99,2017,0 %
Fiskervej 2 4140 Borup,2,4500000.0,01-06-2016,Alm.,30201,4,Villa,149,2003,
Klempegårdsvej 35 4140 Borup,35,1700000.0,01-06-2016,Alm.,11333,5,Villa,150,1978,
Bakkegårds Alle 40 4140 Borup,40,1925000.0,01-06-2016,Alm.,19250,3,Rækkehus,100,2014,
Mølleparken 16 4140 Borup,16,2840000.0,27-05-2016,Alm.,12294,6,Villa,231,1986,-5 %
Lindevej 15 4140 Borup,15,2000000.0,25-05-2016,Alm.,14925,5,Villa,134,1913,-8 %
Vinkelvej 12 4140 Borup,12,1100000.0,25-05-2016,Alm.,11224,3,Villa,98,1910,-4 %
Krotoften 68 4140 Borup,68,3725000.0,11-05-2016,Alm.,20580,5,Villa,181,1974,-4 %
Søvej 2 4140 Borup,2,1745000.0,04-05-2016,Alm.,17989,4,Villa,97,1903,0 %
Klempegårdsvej 60 4140 Borup,60,1525000.0,01-05-2016,Alm.,9077,5,Villa,168,1974,-5 %
Birkevej 16 4140 Borup,16,2130000.0,27-04-2016,Alm.,13312,5,Villa,160,1964,-3 %
Regnemarks Bakke 3 4140 Borup,3,700000.0,25-04-2016,Alm.,7368,3,Villa,95,1775,-12 %
Krogvej 7 4140 Borup,7,1770000.0,25-04-2016,Alm.,12206,5,Villa,145,1978,-1 %
Græsmarken 18 4140 Borup,18,2650000.0,21-04-2016,Alm.,14171,6,Rækkehus,187,2008,-3 %
Bastebjergvej 9 4140 Borup,9,2275000.0,21-04-2016,Alm.,33455,4,Stuehus,68,1923,
Skrænten 11 4140 Borup,11,3500000.0,14-04-2016,Alm.,22292,4,Villa,157,1970,
"Hovedgaden 22, 2. TH 4140 Borup",0,935000.0,07-04-2016,Alm.,12466,3,Lejlighed,75,1894,-6 %
Stenhøjparken 2 4140 Borup,2,1795000.0,06-04-2016,Alm.,18697,4,Rækkehus,96,1980,0 %
Bakkegårds Alle 71 4140 Borup,71,2035000.0,06-04-2016,Alm.,18008,4,Rækkehus,113,2008,-3 %
Kløvermarken 16 4140 Borup,16,3165000.0,22-03-2016,Alm.,19298,5,Villa,164,2006,-1 %
"Hovedgaden 20, ST. TH 4140 Borup",0,1095000.0,13-03-2016,Alm.,9201,4,Lejlighed,119,1892,0 %
Klempegårdsvej 9 4140 Borup,9,1850000.0,10-03-2016,Alm.,13214,5,Villa,140,1973,-2 %
Stenhøjparken 26A 4140 Borup,0,1550000.0,10-03-2016,Alm.,16847,4,Rækkehus,92,1989,-3 %
Stubberupvej 6 4140 Borup,6,3850000.0,10-03-2016,Alm.,10405,12,Stuehus,370,1923,
Dalbyvej 6 4140 Borup,6,450000.0,01-03-2016,Auktion,7031,3,Villa,64,1947,-50 %
Kimmerslevvej 8 4140 Borup,8,1300000.0,01-03-2016,Alm.,16883,3,Villa,77,1946,-4 %
Dalbyvej 9 4140 Borup,9,1500000.0,27-02-2016,Alm.,11363,3,Villa,132,1956,-6 %
Dalstrøget 76 4140 Borup,76,1550000.0,23-02-2016,Alm.,14351,4,Villa,108,1984,-3 %
Bygmarken 11 4140 Borup,11,2435000.0,18-02-2016,Alm.,19173,5,Villa,127,2004,-2 %
Dalstrøget 92 4140 Borup,92,1950000.0,18-02-2016,Alm.,18224,4,Villa,107,1984,
Søvej 4 4140 Borup,4,1240000.0,16-02-2016,Alm.,10420,4,Villa,119,1900,-4 %
Hovedgaden 7C 4140 Borup,0,2325000.0,16-02-2016,Alm.,10763,7,Villa,216,1855,-3 %
Fiskervej 1 4140 Borup,1,3500000.0,11-02-2016,Alm.,18817,7,Stuehus,186,1949,-5 %
Majsmarken 12 4140 Borup,12,3150000.0,31-01-2016,Alm.,18975,5,Villa,166,2006,-1 %
Neergaardparken 20 4140 Borup,20,1895000.0,29-01-2016,Alm.,19947,4,Rækkehus,95,2001,
Lille Dalbyvej 2A 4140 Borup,0,1934348.0,27-01-2016,Alm.,9211,8,Villa,210,1952,
Dyrehavevej 5 4140 Borup,5,2470000.0,20-01-2016,Alm.,12931,6,Villa,191,1777,-3 %
Udløbsvejen 7 4140 Borup,7,1000000.0,18-01-2016,Alm.,9803,5,Sommerhus,102,1965,-9 %
Søvej 8 4140 Borup,8,1300000.0,13-01-2016,Alm.,5882,7,Villa,221,1917,-7 %
Tjørnevej 2 4140 Borup,2,1300000.0,11-01-2016,Alm.,12037,3,Villa,108,1957,
Stenhøjparken 96 4140 Borup,96,1875000.0,03-01-2016,Alm.,18028,4,Rækkehus,104,1995,
Mølleskrænten 2 4140 Borup,2,692000.0,16-12-2015,Alm.,7954,3,Rækkehus,87,2006,
Tjørnevej 18 4140 Borup,18,1050000.0,13-12-2015,Alm.,8333,3,Villa,126,1964,0 %
Lindevej 10A 4140 Borup,0,575000.0,04-12-2015,Alm.,4323,2,Villa,133,1910,
"Hovedgaden 48A, 1. TV 4140 Borup",0,670000.0,01-12-2015,Alm.,10634,3,Lejlighed,63,1901,-4 %
Lille Dalbyvej 5 4140 Borup,5,1300000.0,01-12-2015,Fam.,8125,3,Stuehus,160,1930,
Hvedemarken 9 4140 Borup,9,1220000.0,18-11-2015,Andet,8413,5,Villa,145,2004,
Mølleskrænten 36 4140 Borup,36,1395000.0,12-11-2015,Alm.,16607,3,Lejlighed,84,2006,0 %
Bjørnestien 3 4140 Borup,3,620000.0,12-11-2015,Alm.,13478,2,Sommerhus,46,1956,
Lindevej 8B 4140 Borup,0,1795000.0,07-11-2015,Alm.,11433,6,Villa,157,1912,0 %
Ågerupvej 110 4140 Borup,110,1105000.0,07-11-2015,Alm.,10728,4,Villa,103,1959,-4 %
Krogvej 15 4140 Borup,15,1895000.0,04-11-2015,Alm.,11484,3,Villa,165,1974,0 %
Neergaardparken 35 4140 Borup,35,2695000.0,30-10-2015,Alm.,17500,6,Villa,154,2002,
Græsmarken 3 4140 Borup,3,1465000.0,27-10-2015,Auktion,13080,3,Rækkehus,112,2008,
Krotoften 5 4140 Borup,5,1995000.0,18-10-2015,Alm.,15346,4,Villa,130,1972,0 %
Dalbyvej 57 4140 Borup,57,3466800.0,14-10-2015,Fam.,7376,12,Stuehus,470,1850,
Kimmerslevvej 4 4140 Borup,4,150000.0,12-10-2015,Alm.,967,4,Villa,155,1929,
Klempegårdsvej 95 4140 Borup,95,1695000.0,06-10-2015,Alm.,12463,5,Villa,136,1972,0 %
Hirsemarken 11 4140 Borup,11,2600000.0,27-09-2015,Alm.,13471,7,Villa,193,2010,-4 %
Hirsemarken 5 4140 Borup,5,1760000.0,22-09-2015,Fam.,12137,5,Villa,145,2005,
Hovedgaden 56K 4140 Borup,0,1125000.0,20-09-2015,Alm.,9955,3,Lejlighed,113,2004,
Hovedgaden 56L 4140 Borup,0,1125000.0,20-09-2015,Alm.,9955,3,Lejlighed,113,2004,
Stenhøjparken 21 4140 Borup,21,2450000.0,19-09-2015,Alm.,16442,6,Villa,149,1994,-2 %
Bjørnestien 18 4140 Borup,18,725000.0,09-09-2015,Alm.,13942,3,Sommerhus,52,1966,0 %
Rønnevej 5 4140 Borup,5,1750000.0,09-09-2015,Alm.,14830,5,Villa,118,1968,-3 %
Ørningevej 15 4140 Borup,15,1212505.0,30-08-2015,Andet,3886,9,Villa,312,1974,-56 %
Krohaven 144 4140 Borup,144,750000.0,28-08-2015,Fam.,10416,3,Lejlighed,72,2006,
Kløvestedvej 2B 4140 Borup,0,1657500.0,25-08-2015,Fam.,11431,6,Stuehus,145,1982,
Østergade 8 4140 Borup,8,1125000.0,19-08-2015,Alm.,12784,3,Villa,88,1942,-4 %
Valmuemarken 1 4140 Borup,1,1400000.0,17-08-2015,Fam.,6306,5,Villa,222,2013,
Dalbyvej 15 4140 Borup,15,781139.0,13-08-2015,Alm.,5350,2,Villa,146,1840,
Hovedgaden 40 4140 Borup,40,2000000.0,12-08-2015,Alm.,14084,4,Villa,142,1909,-4 %
Sønderled 1 4140 Borup,1,1476250.0,09-08-2015,Alm.,13299,3,Villa,111,1935,-1 %
Lindevej 5 4140 Borup,5,1995000.0,04-08-2015,Alm.,9684,6,Villa,206,1907,0 %
Rapsmarken 10 4140 Borup,10,2500000.0,31-07-2015,Alm.,17123,5,Villa,146,2005,-4 %
Kløvestedvej 13 4140 Borup,13,2400000.0,30-07-2015,Alm.,13714,10,Villa,175,1900,-6 %
Mølleparken 24 4140 Borup,24,2050000.0,26-07-2015,Alm.,17226,4,Villa,119,1987,-5 %
Ved Kildepladsen 27 4140 Borup,27,85000.0,21-07-2015,Alm.,1603,2,Sommerhus,53,1969,
Mølleskrænten 26 4140 Borup,26,1427500.0,18-07-2015,Alm.,16994,3,Rækkehus,84,2006,-2 %
Klempegårdsvej 30 4140 Borup,30,2095000.0,17-07-2015,Alm.,15992,4,Villa,131,1978,0 %
Kymervej 12 4140 Borup,12,1900000.0,10-07-2015,Alm.,12837,5,Villa,148,1967,
