address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Violinvej 19 3650 Ølstykke,19,1150000.0,15-05-2017,Fam.,6052,8,Villa,190,1966,
Dronning Ingrids Vej 46 3650 Ølstykke,46,828750.0,15-05-2017,Alm.,7534,3,Villa,110,2004,
Park Alle 38 3650 Ølstykke,38,953979.0,11-05-2017,Andet,7819,5,Rækkehus,122,1968,
"Østervej 6, 1 3650 Ølstykke",1,1478140.0,11-05-2017,Fam.,10264,4,Lejlighed,144,1964,
Sperrestrupvej 29 3650 Ølstykke,29,487800.0,09-05-2017,Andet,2120,6,Stuehus,230,2012,
Vandmanden 33 3650 Ølstykke,33,900000.0,08-05-2017,Andet,8823,4,Rækkehus,102,1971,
Løven 29 3650 Ølstykke,29,2095000.0,05-05-2017,Alm.,18377,5,Rækkehus,114,1970,0 %
Gjelstensåsen 225 3650 Ølstykke,225,1350000.0,02-05-2017,Alm.,9926,5,Villa,136,1996,
Felevej 3 3650 Ølstykke,3,1895000.0,02-05-2017,Alm.,15924,4,Villa,119,1973,
Ametystvej 22 3650 Ølstykke,22,1845000.0,30-04-2017,Alm.,18636,4,Rækkehus,99,1988,-3 %
Ryttervænget 13 3650 Ølstykke,13,2495000.0,24-04-2017,Alm.,14176,5,Villa,176,1880,0 %
Bryggertorvet 35B 3650 Ølstykke,0,1095000.0,20-04-2017,Alm.,24333,1,Lejlighed,45,1988,0 %
Vinkelvej 19 3650 Ølstykke,19,2550000.0,19-04-2017,Alm.,14325,6,Villa,178,1965,-4 %
Spireavej 4 3650 Ølstykke,4,2250000.0,11-04-2017,Alm.,20833,4,Villa,108,1967,-4 %
Drosselvej 20 3650 Ølstykke,20,2750000.0,09-04-2017,Alm.,20220,5,Villa,136,1969,0 %
Egevej 6 3650 Ølstykke,6,2825000.0,04-04-2017,Alm.,15026,6,Villa,188,1968,-1 %
Ørnebjergvej 5F 3650 Ølstykke,0,1295000.0,03-04-2017,Alm.,14715,2,Rækkehus,88,1935,4 %
Lillevang 5 3650 Ølstykke,5,1900000.0,28-03-2017,Alm.,20879,4,Stuehus,91,1893,
Bryggerparken 12 3650 Ølstykke,12,1795000.0,27-03-2017,Alm.,19095,4,Lejlighed,94,2003,0 %
Violvej 22 3650 Ølstykke,22,1870000.0,24-03-2017,Alm.,15080,4,Villa,124,1976,-6 %
Hjørdisvej 23 3650 Ølstykke,23,2750000.0,24-03-2017,Alm.,21317,5,Villa,129,1981,-2 %
Frodes Have 38 3650 Ølstykke,38,230000.0,22-03-2017,Fam.,2169,4,Rækkehus,106,2007,
Egernvej 2 3650 Ølstykke,2,1925000.0,21-03-2017,Alm.,15524,5,Villa,124,1971,-4 %
Løven 14 3650 Ølstykke,14,1825000.0,21-03-2017,Alm.,16008,5,Rækkehus,114,1970,-4 %
Violvej 10 3650 Ølstykke,10,2050000.0,17-03-2017,Alm.,15648,5,Villa,131,1968,3 %
Lindholmvej 18 3650 Ølstykke,18,2781667.0,16-03-2017,Alm.,18180,5,Villa,153,1973,
Dronning Dagmars Vej 28 3650 Ølstykke,28,2249000.0,16-03-2017,Alm.,16416,4,Villa,137,1978,
Fiskene 32 3650 Ølstykke,32,2295000.0,15-03-2017,Alm.,20131,5,Rækkehus,114,1971,0 %
Skjoldsvej 30 3650 Ølstykke,30,2400000.0,15-03-2017,Alm.,20869,4,Villa,115,1974,-2 %
Skjoldsvej 79 3650 Ølstykke,79,2100000.0,15-03-2017,Alm.,16800,5,Rækkehus,125,1976,-4 %
Astersvej 7 3650 Ølstykke,7,2600000.0,10-03-2017,Alm.,18571,4,Villa,140,1971,-3 %
Bryggerparken 15 3650 Ølstykke,15,2210000.0,08-03-2017,Alm.,20090,5,Lejlighed,110,2003,-2 %
Thyra Danebods Vej 61 3650 Ølstykke,61,800000.0,08-03-2017,Fam.,6400,5,Rækkehus,125,1968,
Skorpionen 13 3650 Ølstykke,13,2095000.0,08-03-2017,Alm.,20539,4,Rækkehus,102,1971,0 %
Roarsvej 36 3650 Ølstykke,36,2095000.0,02-03-2017,Alm.,16760,5,Rækkehus,125,1975,-3 %
Dronning Dagmars Vej 72 3650 Ølstykke,72,2150000.0,01-03-2017,Alm.,15693,5,Villa,137,1978,-2 %
Vandmanden 26 3650 Ølstykke,26,2070000.0,22-02-2017,Alm.,20294,4,Rækkehus,102,1971,-1 %
Vandmanden 17 3650 Ølstykke,17,1875000.0,21-02-2017,Alm.,16447,5,Rækkehus,114,1971,0 %
Maglehøjvej 11 3650 Ølstykke,11,2250000.0,20-02-2017,Alm.,19230,4,Villa,117,1970,-6 %
Emilsvej 14 3650 Ølstykke,14,4495000.0,20-02-2017,Alm.,23909,6,Villa,188,2007,0 %
Tangbjergvej 31 3650 Ølstykke,31,2705000.0,19-02-2017,Alm.,15457,5,Villa,175,1976,-3 %
Vestervej 13 3650 Ølstykke,13,1975000.0,17-02-2017,Alm.,19554,3,Villa,101,1961,-1 %
Storkevej 10 3650 Ølstykke,10,3100000.0,16-02-2017,Alm.,23484,4,Rækkehus,132,2012,-3 %
Bøgevej 9 3650 Ølstykke,9,1950000.0,15-02-2017,Alm.,16956,6,Villa,115,1966,0 %
