address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Sølvagervej 25 4534 Hørve,25,450000.0,04-05-2017,Alm.,8490,2,Rækkehus,53,1974,
Troldebanken 2 4534 Hørve,2,412500.0,28-04-2017,Alm.,2291,4,Villa,180,1922,
Søhusvej 16 4534 Hørve,16,1050000.0,24-04-2017,Fam.,6104,6,Villa,172,2007,
På Højen 4A 4534 Hørve,0,625000.0,11-04-2017,Alm.,10775,3,Rækkehus,58,1975,-10 %
Nekseløvej 55 4534 Hørve,55,225000.0,30-03-2017,Alm.,5625,2,Sommerhus,40,1952,
Slugten 5 4534 Hørve,5,656500.0,27-03-2017,Fam.,10588,4,Sommerhus,62,1979,-22 %
Højskolevej 2 4534 Hørve,2,2865000.0,20-03-2017,Alm.,12456,9,Villa,230,1875,-4 %
Dragsmøllevej 13 4534 Hørve,13,815000.0,20-03-2017,Alm.,9702,3,Villa,84,1988,-7 %
Poppelvang 8 4534 Hørve,8,1295000.0,07-03-2017,Alm.,8750,4,Villa,148,1976,0 %
Vallekildevej 163 4534 Hørve,163,250000.0,03-03-2017,Alm.,3246,4,Villa,77,1897,-29 %
Slotsvej 4 4534 Hørve,4,265000.0,24-02-2017,Alm.,4076,3,Villa,65,1910,
Elmkær 26 4534 Hørve,26,1275000.0,23-02-2017,Alm.,8388,5,Villa,152,1969,-2 %
Strandlystvej 12 4534 Hørve,12,1850000.0,18-02-2017,Alm.,8222,5,Villa,225,1997,-11 %
Industrivej 6 4534 Hørve,6,1645000.0,09-02-2017,Alm.,9791,7,Villa,168,1991,-3 %
Elmkær 56 4534 Hørve,56,900000.0,31-01-2017,Alm.,4736,5,Villa,190,1972,-10 %
Vallekildevej 39 4534 Hørve,39,900000.0,31-01-2017,Fam.,5487,7,Stuehus,164,1910,
Skolegade 29 4534 Hørve,29,1050000.0,15-12-2016,Fam.,8015,5,Villa,131,1996,
Vallekildevej 67 4534 Hørve,67,372167.0,08-12-2016,Alm.,4652,2,Villa,80,1944,
Hørve Kanalvej 31 4534 Hørve,31,1800000.0,07-12-2016,Alm.,8695,7,Stuehus,207,1915,-10 %
Lindebjerg 10B 4534 Hørve,0,600000.0,22-11-2016,Alm.,8219,2,Rækkehus,73,1986,
Svinget 2 4534 Hørve,2,550000.0,25-10-2016,Alm.,4044,3,Villa,136,1954,-12 %
Skolelodden 1 4534 Hørve,1,595000.0,12-10-2016,Alm.,7727,4,Villa,77,1981,0 %
Slugten 10 4534 Hørve,10,875000.0,26-09-2016,Alm.,14344,4,Sommerhus,61,2004,-12 %
Søndergade 15C 4534 Hørve,0,600000.0,25-09-2016,Alm.,7792,3,Rækkehus,77,1987,-8 %
Bulskovvej 15 4534 Hørve,15,500000.0,25-09-2016,Alm.,8928,3,Sommerhus,56,1967,
Teglværksvej 5 4534 Hørve,5,1450000.0,22-09-2016,Alm.,3950,9,Villa,367,1922,-12 %
Dragsmøllevej 1 4534 Hørve,1,360000.0,22-09-2016,Auktion,4090,5,Villa,88,1948,
Lindebjerg 10A 4534 Hørve,0,625000.0,21-09-2016,Alm.,8561,2,Rækkehus,73,1986,-3 %
Nørregade 18 4534 Hørve,18,2067000.0,12-09-2016,Andet,7489,8,Villa,276,1926,
Vallekildevej 118 4534 Hørve,118,495000.0,07-09-2016,Alm.,4900,4,Villa,101,1941,0 %
Lindebjerg 11 4534 Hørve,11,680000.0,06-09-2016,Alm.,9444,3,Rækkehus,72,1983,-2 %
Elmkær 97 4534 Hørve,97,1140000.0,26-08-2016,Alm.,8260,4,Villa,138,1973,-5 %
Bulskovvej 17 4534 Hørve,17,500000.0,11-08-2016,Alm.,11111,3,Sommerhus,45,1951,
Søhusvej 32 4534 Hørve,32,922378.0,10-08-2016,Fam.,4231,2,Villa,218,2008,
Kolåsvej 11 4534 Hørve,11,2700000.0,10-08-2016,Alm.,10505,5,Villa,257,1968,-10 %
Pilevang 6 4534 Hørve,6,1565000.0,06-08-2016,Alm.,11592,5,Villa,135,1999,-1 %
Vallekildevej 47A 4534 Hørve,0,785000.0,15-07-2016,Alm.,6038,4,Villa,130,1918,
Vallekildevej 44 4534 Hørve,44,775000.0,02-07-2016,Alm.,5575,5,Villa,139,1949,-8 %
Bjergesøstien 8 4534 Hørve,8,750000.0,20-06-2016,Fam.,6465,4,Villa,116,1966,
Hørve Kirkevej 5A 4534 Hørve,0,1175000.0,08-06-2016,Alm.,9325,6,Villa,126,1950,-2 %
Holstensvejen 10 4534 Hørve,10,1160000.0,08-06-2016,Alm.,6553,5,Stuehus,177,1860,-10 %
Nørregade 7 4534 Hørve,7,600000.0,06-06-2016,Alm.,3636,5,Villa,165,1910,
Holmagervej 7 4534 Hørve,7,745000.0,31-05-2016,Alm.,5246,6,Villa,142,1961,0 %
Søhusvej 50 4534 Hørve,50,1895000.0,13-05-2016,Alm.,14248,5,Villa,133,2007,-5 %
Maglebjergvej 7 4534 Hørve,7,1305000.0,12-05-2016,Alm.,8312,7,Villa,157,1981,-6 %
Elmkær 5 4534 Hørve,5,970000.0,30-04-2016,Alm.,8220,4,Villa,118,1970,-3 %
Vejlebyvej 2 4534 Hørve,2,260000.0,01-04-2016,Alm.,2000,5,Villa,130,1927,
På Højen 4C 4534 Hørve,0,500000.0,31-03-2016,Alm.,8620,3,Rækkehus,58,1975,0 %
Fladehøj 53 4534 Hørve,53,991000.0,31-03-2016,Alm.,8122,4,Villa,122,1978,-9 %
Pilevang 15 4534 Hørve,15,1595000.0,23-03-2016,Alm.,11076,5,Villa,144,1998,-6 %
Hørve Kanalvej 33 4534 Hørve,33,1495000.0,01-03-2016,Alm.,6500,6,Stuehus,230,1904,
Kalundborgvej 47 4534 Hørve,47,1500000.0,26-02-2016,Fam.,7731,5,Villa,194,1921,
Adelers Alle 202 4534 Hørve,202,1200000.0,23-02-2016,Alm.,9600,5,Villa,125,1900,
Vallekildevej 126 4534 Hørve,126,720000.0,19-02-2016,Alm.,5581,4,Villa,129,1935,-4 %
Vallekildevej 52 4534 Hørve,52,481000.0,16-02-2016,Fam.,6012,3,Villa,80,1959,
Bjergesøvej 5 4534 Hørve,5,675000.0,15-02-2016,Auktion,3994,6,Villa,169,1887,71 %
Vallekildevej 24 4534 Hørve,24,500000.0,12-02-2016,Alm.,3448,6,Villa,145,1908,
Engmosevej 1 4534 Hørve,1,500000.0,26-01-2016,Alm.,5952,4,Villa,84,1965,-9 %
Hørve Kanalvej 29 4534 Hørve,29,1240000.0,11-01-2016,Alm.,7948,5,Stuehus,156,1908,
