address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Smaragdvej 14 2730 Herlev,14,2995000.0,23-05-2017,Alm.,27227,5,Villa,110,1962,
Tværskiftet 32B 2730 Herlev,0,4100000.0,19-05-2017,Alm.,32031,5,Villa,128,1957,-2 %
Viemosevej 137 2730 Herlev,137,2500000.0,08-05-2017,Alm.,23809,4,Villa,105,1959,
"Herlev Hovedgade 6A, 1 2730 Herlev",1,1075000.0,05-05-2017,Alm.,13109,2,Lejlighed,82,1939,
Krogestykket 45 2730 Herlev,45,3650000.0,03-05-2017,Alm.,21856,5,Villa,167,1962,-3 %
Køllegårdsvej 50 2730 Herlev,50,2750000.0,26-04-2017,Alm.,24336,5,Villa,113,1948,-2 %
Kærlundevej 41 2730 Herlev,41,2675000.0,19-04-2017,Alm.,31845,3,Rækkehus,84,1945,-1 %
Hjortespringvej 41 2730 Herlev,41,3000000.0,19-04-2017,Alm.,20547,5,Villa,146,1953,-5 %
"Herlev Hovedgade 66, 1. TH 2730 Herlev",0,1700000.0,16-04-2017,Alm.,22368,3,Lejlighed,76,1947,-10 %
Meteorvej 56B 2730 Herlev,0,2850000.0,12-04-2017,Alm.,27941,4,Rækkehus,102,1964,-2 %
Lidsøvej 53D 2730 Herlev,0,2700000.0,07-04-2017,Alm.,20454,4,Villa,132,1904,-10 %
Hyldtoftevej 17 2730 Herlev,17,3212000.0,03-04-2017,Fam.,35688,6,Villa,90,1970,
Fagotvej 7 2730 Herlev,7,3100000.0,02-04-2017,Alm.,20529,4,Villa,151,1959,-6 %
Mosebyvej 28 2730 Herlev,28,3000000.0,31-03-2017,Alm.,21582,5,Villa,139,1950,-3 %
Hjortespringvej 94 2730 Herlev,94,3300000.0,31-03-2017,Alm.,27272,5,Villa,121,1955,-4 %
Rørløkken 1 2730 Herlev,1,3200000.0,31-03-2017,Alm.,17777,5,Villa,180,1971,-11 %
Dalbugten 33 2730 Herlev,33,3200000.0,30-03-2017,Alm.,25600,5,Villa,125,1964,-11 %
Tvedvangen 54 2730 Herlev,54,2985000.0,27-03-2017,Alm.,28701,4,Rækkehus,104,1963,0 %
"Herlev Hovedgade 105, 1. MF 2730 Herlev",0,1065000.0,24-03-2017,Alm.,22187,2,Lejlighed,48,1942,-2 %
Hjortespringparken 33 2730 Herlev,33,4000000.0,19-03-2017,Alm.,23809,6,Rækkehus,168,1971,-5 %
Krogestykket 22 2730 Herlev,22,2950000.0,19-03-2017,Alm.,26818,4,Villa,110,1963,-2 %
Kastaniehøj 4 2730 Herlev,4,2695000.0,15-03-2017,Alm.,25913,4,Rækkehus,104,1992,
Vingekrogen 11 2730 Herlev,11,4450000.0,13-03-2017,Alm.,28525,5,Villa,156,1967,-5 %
Tofteledet 17 2730 Herlev,17,3495000.0,09-03-2017,Alm.,30929,4,Villa,113,1963,0 %
Stokkemarkevej 9 2730 Herlev,9,2800000.0,09-03-2017,Alm.,26923,4,Rækkehus,104,1967,
"Tvedvangen 291, 1 2730 Herlev",1,3400000.0,06-03-2017,Alm.,17801,6,Lejlighed,191,1964,
"Tvedvangen 293, 1 2730 Herlev",1,2600000.0,06-03-2017,Alm.,16250,5,Lejlighed,160,1976,
Ålbrovej 10B 2730 Herlev,0,3150000.0,06-03-2017,Alm.,14383,10,Villa,219,1902,-4 %
Våbenstedvej 83 2730 Herlev,83,2900000.0,05-03-2017,Alm.,31868,4,Villa,91,1962,-11 %
Agerledet 24 2730 Herlev,24,2500000.0,05-03-2017,Alm.,25000,4,Villa,100,1953,-4 %
Snedronningvej 41B 2730 Herlev,0,3200000.0,05-03-2017,Alm.,22377,5,Villa,143,1968,-2 %
"Toggangen 3, 2. TH 2730 Herlev",0,1354000.0,03-03-2017,Alm.,24618,2,Lejlighed,55,1942,-1 %
Hyldemorsvej 9 2730 Herlev,9,3047500.0,03-03-2017,Fam.,15469,5,Villa,197,1975,
Gammel Klausdalsbrovej 477 2730 Herlev,477,2995000.0,02-03-2017,Alm.,35235,3,Villa,85,1958,0 %
Lidsøvej 53B 2730 Herlev,0,1950500.0,02-03-2017,Andet,10836,6,Villa,180,1967,
Rørløkken 37 2730 Herlev,37,1487500.0,01-03-2017,Fam.,13901,4,Rækkehus,107,1968,
Ålbrobuen 29 2730 Herlev,29,3395000.0,01-03-2017,Alm.,33950,4,Villa,100,1959,0 %
Rørløkken 98 2730 Herlev,98,2950000.0,28-02-2017,Alm.,27570,4,Rækkehus,107,1968,
Violinvej 30 2730 Herlev,30,2177095.0,24-02-2017,Fam.,13274,5,Villa,164,2011,
Lidsøvej 40 2730 Herlev,40,2300000.0,23-02-2017,Alm.,21296,4,Villa,108,1964,-4 %
Dalbugten 43 2730 Herlev,43,3050000.0,22-02-2017,Alm.,29901,3,Villa,102,1962,
Ålbrovej 9A 2730 Herlev,0,2449000.0,19-02-2017,Alm.,26333,4,Rækkehus,93,1983,0 %
Meteorvej 35 2730 Herlev,35,4200000.0,16-02-2017,Alm.,23333,7,Villa,180,1959,
"Herlev Hovedgade 89, 1. TH 2730 Herlev",0,1645000.0,16-02-2017,Alm.,24552,3,Lejlighed,67,1955,-5 %
Vingetoften 206 2730 Herlev,206,2685000.0,14-02-2017,Alm.,26584,4,Rækkehus,101,1967,-1 %
"Klokkedybet 3, 1. F 2730 Herlev",0,625000.0,13-02-2017,Alm.,17361,1,Lejlighed,36,1969,-7 %
Tvedvangen 255 2730 Herlev,255,2925000.0,10-02-2017,Alm.,31793,4,Villa,92,1960,-2 %
Klokkedybet 7 2730 Herlev,7,2825000.0,07-02-2017,Alm.,21240,5,Villa,133,1980,-6 %
"Toggangen 1, ST. TH 2730 Herlev",0,1070000.0,31-01-2017,Alm.,19107,2,Lejlighed,56,1942,-3 %
Klintekongevej 8B 2730 Herlev,0,2050000.0,31-01-2017,Alm.,15648,6,Villa,131,1924,
Skinderskovvej 84 2730 Herlev,84,5300000.0,27-01-2017,Alm.,20000,6,Villa,265,1975,-12 %
Vingetoften 21 2730 Herlev,21,4700000.0,26-01-2017,Alm.,25268,6,Villa,186,1968,-6 %
Tvedvangen 266 2730 Herlev,266,3325000.0,24-01-2017,Alm.,20781,5,Villa,160,1958,-2 %
Snedronningvej 1A 2730 Herlev,0,2600000.0,20-01-2017,Alm.,19402,4,Villa,134,1930,-7 %
"Herlev Hovedgade 101, ST. TH 2730 Herlev",0,1275000.0,18-01-2017,Alm.,20564,3,Lejlighed,62,1942,-2 %
Hyldtoftevej 26 2730 Herlev,26,3005000.0,18-01-2017,Alm.,19769,5,Villa,152,1968,0 %
Hjortespring Have 30 2730 Herlev,30,3115000.0,16-01-2017,Alm.,27812,4,Rækkehus,112,2011,1 %
Kastaniehøj 30 2730 Herlev,30,2345000.0,15-01-2017,Alm.,27267,3,Rækkehus,86,1992,0 %
Gammelgårdsvej 38 2730 Herlev,38,3360000.0,12-01-2017,Alm.,25454,5,Villa,132,1968,-4 %
Snedronningvej 1B 2730 Herlev,0,5350000.0,12-01-2017,Alm.,28763,5,Villa,186,2016,
Tofteledet 21 2730 Herlev,21,3600000.0,09-01-2017,Alm.,21052,4,Villa,171,1976,-8 %
Korterupvej 6 2730 Herlev,6,5350000.0,09-01-2017,Alm.,27020,5,Villa,198,1959,
Flintingevej 3 2730 Herlev,3,3250000.0,09-01-2017,Alm.,29545,4,Villa,110,1964,-1 %
Hededammen 22 2730 Herlev,22,4375000.0,06-01-2017,Alm.,22208,7,Villa,197,1970,-7 %
"Elverhøjen 1E, ST. TH 2730 Herlev",0,1000000.0,05-01-2017,Alm.,14084,3,Lejlighed,71,1947,
"Vindebyvej 5, ST. TV 2730 Herlev",0,1350000.0,03-01-2017,Alm.,21774,3,Lejlighed,62,1940,
