address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Lerdammen 41 2605 Brøndby,41,440000.0,24-05-2017,Alm.,3142,5,Villa,140,1969,
"Brøndbyvestervej 60B, 1. 2 2605 Brøndby",2,975000.0,18-05-2017,Alm.,21195,1,Lejlighed,46,1967,
Oliversvej 20A 2605 Brøndby,0,1483333.0,17-05-2017,Fam.,12258,5,Villa,121,1952,
"Brøndbyvestervej 42, 1. TH 2605 Brøndby",0,1775000.0,08-05-2017,Alm.,22468,3,Lejlighed,79,1971,2 %
Lundedammen 10 2605 Brøndby,10,3350000.0,02-05-2017,Alm.,25968,5,Villa,129,1979,-7 %
"Brøndbyvestervej 60B, 2. 2 2605 Brøndby",2,920000.0,12-04-2017,Alm.,20000,1,Lejlighed,46,1967,-3 %
Park Allé 185 2605 Brøndby,185,2350000.0,11-04-2017,Alm.,24479,3,Villa,96,1957,-6 %
Lærkehøj 40 2605 Brøndby,40,3150000.0,03-04-2017,Alm.,28636,4,Villa,110,1963,-1 %
Mosebakkevej 6 2605 Brøndby,6,2100000.0,31-03-2017,Alm.,23333,4,Rækkehus,90,1957,-2 %
Egehøj 16 2605 Brøndby,16,2200000.0,27-03-2017,Alm.,28571,3,Villa,77,1959,-2 %
Hederavej 21 2605 Brøndby,21,2220000.0,24-03-2017,Alm.,24395,5,Villa,91,1960,-7 %
Ved Lindelund 180 2605 Brøndby,180,3300000.0,23-03-2017,Alm.,24626,5,Villa,134,1979,-3 %
Østtoftevej 26 2605 Brøndby,26,2300000.0,19-03-2017,Alm.,16911,5,Villa,136,1928,-8 %
Hedegrænsen 66 2605 Brøndby,66,2375000.0,17-03-2017,Alm.,24739,4,Villa,96,1955,-3 %
Kirkebakken 44 2605 Brøndby,44,1140000.0,16-03-2017,Fam.,8382,6,Villa,136,1962,
Hyldeager 19 2605 Brøndby,19,2300000.0,16-03-2017,Alm.,19491,4,Rækkehus,118,1950,-8 %
Bryggerdammen 23 2605 Brøndby,23,3149000.0,15-03-2017,Alm.,22492,4,Rækkehus,140,1980,-2 %
Lindehjørnet 56 2605 Brøndby,56,3300000.0,13-03-2017,Alm.,24812,4,Villa,133,1978,-3 %
Vestre Gade 8D 2605 Brøndby,0,3400000.0,08-03-2017,Alm.,23448,6,Villa,145,1954,-3 %
Muldager 6 2605 Brøndby,6,3770000.0,06-03-2017,Alm.,19738,9,Villa,191,1971,-3 %
Hyldeager 9 2605 Brøndby,9,2745000.0,04-03-2017,Alm.,23262,2,Rækkehus,118,1950,0 %
Plovmarksvej 5 2605 Brøndby,5,977500.0,28-02-2017,Andet,8426,4,Villa,116,1960,
Rytterdammen 30 2605 Brøndby,30,2950000.0,20-02-2017,Alm.,32777,4,Rækkehus,90,1989,-2 %
"Brøndbyvestervej 68C, ST. 2 2605 Brøndby",2,760000.0,20-02-2017,Alm.,16521,1,Lejlighed,46,1967,-3 %
Hedegrænsen 10 2605 Brøndby,10,3300000.0,16-02-2017,Alm.,27272,3,Villa,121,1954,3 %
Østtoftevej 3B 2605 Brøndby,0,3095000.0,16-02-2017,Alm.,23097,5,Villa,134,1932,0 %
Bygaden 98 2605 Brøndby,98,1402500.0,13-02-2017,Alm.,11687,4,Villa,120,1877,-30 %
Park Allé 333 2605 Brøndby,333,3250000.0,12-02-2017,Alm.,20061,6,Villa,162,1953,-4 %
"Brøndbyvestervej 68A, 1. 3 2605 Brøndby",3,960000.0,07-02-2017,Alm.,20869,1,Lejlighed,46,1967,1 %
Park Allé 330 2605 Brøndby,330,722500.0,06-02-2017,Alm.,5644,4,Villa,128,1955,
Kirkebjerg Allé 48 2605 Brøndby,48,2200000.0,03-02-2017,Alm.,22222,4,Villa,99,1957,-2 %
Kirkeskellet 14 2605 Brøndby,14,2650000.0,02-02-2017,Alm.,22457,4,Villa,118,1960,-5 %
"Brøndbyvestervej 60B, 2. 3 2605 Brøndby",3,700000.0,02-02-2017,Alm.,15217,1,Lejlighed,46,1967,-7 %
Knudslundvej 16 2605 Brøndby,16,2525000.0,02-02-2017,Alm.,26302,3,Villa,96,1959,-3 %
Østtoftevej 7 2605 Brøndby,7,2500000.0,30-01-2017,Alm.,24038,4,Villa,104,1949,-4 %
Brøndbyvestervej 139 2605 Brøndby,139,2900000.0,27-01-2017,Alm.,12393,9,Villa,234,1960,-2 %
Folemarksvej 131 2605 Brøndby,131,850000.0,27-01-2017,Fam.,5862,4,Villa,145,1958,
Turpinsvej 20 2605 Brøndby,20,3450000.0,25-01-2017,Alm.,20058,7,Villa,172,1967,-4 %
Folemarksvej 51 2605 Brøndby,51,2500000.0,24-01-2017,Alm.,20661,5,Villa,121,1959,-4 %
Vesterleds Allé 9 2605 Brøndby,9,1108000.0,23-01-2017,Andet,8147,4,Villa,136,1937,
"Brøndbyvestervej 42, 2. TV 2605 Brøndby",0,1650000.0,20-01-2017,Alm.,20886,3,Lejlighed,79,1971,0 %
Folemarksvej 93 2605 Brøndby,93,2045000.0,20-01-2017,Alm.,16626,3,Villa,123,1960,3 %
Kirkebjerg Allé 67B 2605 Brøndby,0,3300000.0,19-01-2017,Alm.,16751,4,Villa,197,1962,-3 %
Bryggerdammen 15 2605 Brøndby,15,3400000.0,17-01-2017,Alm.,23943,4,Rækkehus,142,1980,-3 %
Krogagervej 23 2605 Brøndby,23,1500000.0,13-01-2017,Fam.,10948,3,Villa,137,1947,
Humlemarksvej 32 2605 Brøndby,32,3795000.0,12-01-2017,Alm.,17985,8,Villa,211,1967,0 %
"Brøndbyvestervej 40, 2. TH 2605 Brøndby",0,1700000.0,10-01-2017,Alm.,21518,3,Lejlighed,79,1971,-3 %
Rytterdammen 5 2605 Brøndby,5,2895000.0,09-01-2017,Alm.,32166,4,Rækkehus,90,1988,0 %
Åkrogen 10 2605 Brøndby,10,3350000.0,05-01-2017,Alm.,21474,6,Rækkehus,156,1971,
Vesterleds Allé 19A 2605 Brøndby,0,3150000.0,03-01-2017,Alm.,20723,4,Villa,152,1962,-1 %
"Brøndbyvestervej 66B, 1. 3 2605 Brøndby",3,895000.0,02-01-2017,Alm.,19456,1,Lejlighed,46,1967,0 %
Vestre Gade 13 2605 Brøndby,13,3050000.0,23-12-2016,Alm.,31443,4,Villa,97,1929,-5 %
Lyngtoftevej 30 2605 Brøndby,30,1899000.0,21-12-2016,Alm.,18617,4,Villa,102,1935,0 %
Parkdammen 32 2605 Brøndby,32,2000000.0,20-12-2016,Fam.,17391,5,Villa,115,1966,
Lysedammen 39 2605 Brøndby,39,3200000.0,19-12-2016,Alm.,23357,5,Villa,137,1967,-2 %
"Brøndbyvestervej 60B, ST. 2 2605 Brøndby",2,535500.0,19-12-2016,Fam.,11641,1,Lejlighed,46,1967,
