address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Vejlevej 21 7182 Bredsten,21,609635.0,01-05-2017,Fam.,4175,6,Villa,146,1907,
Johan Skjoldborg Vej 70 7182 Bredsten,70,1495000.0,19-04-2017,Alm.,10992,4,Villa,136,1978,
Storedalsvej 7 7182 Bredsten,7,1400000.0,19-04-2017,Alm.,14736,3,Rækkehus,95,2008,
Lihmskovvej 1 7182 Bredsten,1,3500000.0,21-03-2017,Alm.,18134,6,Villa,193,1912,-22 %
Møllegårdsvej 2 7182 Bredsten,2,700000.0,14-03-2017,Fam.,5147,4,Villa,136,1971,
Lille Ravningvej 10 7182 Bredsten,10,1525000.0,14-03-2017,Alm.,8567,6,Stuehus,178,1877,
Vesterløkke 6 7182 Bredsten,6,985000.0,14-03-2017,Alm.,7817,5,Villa,126,1978,0 %
Jennumvej 249 7182 Bredsten,249,710000.0,24-02-2017,Alm.,5259,2,Stuehus,135,1885,-10 %
De Lichtenbergs Vej 2 7182 Bredsten,2,850000.0,15-02-2017,Alm.,6854,4,Villa,124,1877,-15 %
Ladegårdvej 10 7182 Bredsten,10,1255000.0,31-01-2017,Alm.,9160,5,Villa,137,1877,-10 %
Kirkegade 2 7182 Bredsten,2,550000.0,19-01-2017,Alm.,3928,5,Villa,140,1900,
Skovvej 9 7182 Bredsten,9,489000.0,22-12-2016,Andet,2317,7,Villa,211,1973,
Skolevænget 1 7182 Bredsten,1,1400000.0,12-12-2016,Alm.,9790,5,Villa,143,1925,
Anton Berntsen Vej 19 7182 Bredsten,19,873500.0,11-12-2016,Alm.,4411,6,Villa,198,1986,
Steen Blicher Vej 101 7182 Bredsten,101,3000000.0,07-12-2016,Fam.,10869,7,Stuehus,276,1934,
Storedalsvej 5 7182 Bredsten,5,1380000.0,05-12-2016,Alm.,14526,3,Rækkehus,95,2008,-1 %
Johan Skjoldborg Vej 50 7182 Bredsten,50,1575000.0,30-11-2016,Alm.,11580,5,Villa,136,1978,-1 %
Engelsholmvej 3 7182 Bredsten,3,4400000.0,23-11-2016,Alm.,19909,5,Stuehus,221,1997,-12 %
Anton Berntsen Vej 24 7182 Bredsten,24,2250000.0,18-11-2016,Alm.,14331,6,Villa,157,1997,-10 %
Nybovej 5 7182 Bredsten,5,2300000.0,31-10-2016,Alm.,10648,5,Villa,216,2009,-4 %
Vesterløkke 44 7182 Bredsten,44,950000.0,17-10-2016,Alm.,6884,5,Villa,138,1977,-5 %
Møllegårdsvej 17 7182 Bredsten,17,950000.0,10-10-2016,Alm.,7600,4,Villa,125,1973,-17 %
Kærbøllinghusevej 22 7182 Bredsten,22,2550000.0,10-10-2016,Alm.,11086,6,Stuehus,230,1973,
Rolighedsvej 27 7182 Bredsten,27,2700000.0,07-10-2016,Alm.,14136,6,Villa,191,1920,-3 %
