address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Andemosevej 33 4944 Fejø,33,495000.0,17-03-2017,Fam.,4194,3,Villa,118,1900,
Lærkestien 7 4944 Fejø,7,450000.0,08-03-2017,Alm.,4736,3,Sommerhus,95,1976,
Brigetvej 3 4944 Fejø,3,195000.0,21-02-2017,Alm.,2407,3,Villa,81,1952,
Skovvej 28 4944 Fejø,28,150000.0,20-02-2017,Fam.,882,6,Villa,170,1877,
Skaløvej 15 4944 Fejø,15,700000.0,28-12-2016,Alm.,3846,4,Villa,182,1976,
Dybvigvej 49 4944 Fejø,49,400000.0,09-12-2016,Fam.,4705,4,Villa,85,1915,
Storemosevej 56 4944 Fejø,56,555000.0,15-11-2016,Alm.,4021,5,Villa,138,1877,-7 %
Herredsvej 57B 4944 Fejø,0,455000.0,02-10-2016,Alm.,3791,4,Sommerhus,120,1860,
Slettervig 9 4944 Fejø,9,230000.0,23-09-2016,Alm.,6388,3,Sommerhus,36,1969,
Skaløvej 27 4944 Fejø,27,850000.0,24-08-2016,Alm.,5000,5,Villa,170,1910,-28 %
Poppelstien 18 4944 Fejø,18,180000.0,14-08-2016,Alm.,4500,3,Sommerhus,40,1971,
Bøgestien 7 4944 Fejø,7,270000.0,12-08-2016,Alm.,5400,3,Sommerhus,50,1973,-8 %
Syrenstien 10 4944 Fejø,10,570000.0,05-08-2016,Alm.,9047,4,Sommerhus,63,1970,-18 %
Herredsvej 280 4944 Fejø,280,160000.0,28-07-2016,Alm.,2285,3,Villa,70,1897,-18 %
Dommervej 2 4944 Fejø,2,800000.0,06-07-2016,Alm.,6837,5,Villa,117,1934,
Herredsvej 74A 4944 Fejø,0,170000.0,01-07-2016,Alm.,1452,5,Villa,117,1893,-15 %
Herredsvej 287 4944 Fejø,287,500000.0,30-06-2016,Alm.,6250,4,Villa,80,1875,1 %
Andemosevej 27 4944 Fejø,27,445000.0,03-06-2016,Fam.,3476,5,Villa,128,1846,
Andemosevej 27B 4944 Fejø,0,360000.0,02-06-2016,Fam.,4931,3,Sommerhus,73,1880,
Lærkestien 5 4944 Fejø,5,155000.0,31-05-2016,Alm.,5961,1,Sommerhus,26,1972,
Birkestien 3 4944 Fejø,3,325000.0,31-05-2016,Alm.,4850,5,Sommerhus,67,1973,
